timestamp_us,op_type,chunk_id,latency_us,ok,bytes
1776916149762849,GET,chunk_0,8,0,0
1776916149762854,PUT,chunk_1,9,0,4096
1776916149762859,GET,chunk_0,8,0,0
1776916149762865,GET,chunk_0,9,0,0
1776916149762871,GET,chunk_0,8,0,0
1776916149762876,GET,chunk_2,8,0,0
1776916149762881,PUT,chunk_0,9,0,4096
1776916149762887,GET,chunk_2,9,0,0
1776916149762898,GET,chunk_0,10,0,0
1776916149762903,GET,chunk_0,9,0,0
1776916149762893,GET,chunk_1,8,0,0
1776916149762908,PUT,chunk_0,10,0,4096
1776916149762916,GET,chunk_0,10,0,0
1776916149762922,GET,chunk_0,9,0,0
1776916149762912,GET,chunk_0,11,0,0
1776916149762927,PUT,chunk_4,10,0,4096
1776916149762936,GET,chunk_0,10,0,0
1776916149762941,PUT,chunk_3,9,0,4096
1776916149762932,GET,chunk_0,10,0,0
1776916149762946,GET,chunk_2,10,0,0
1776916149762955,GET,chunk_0,10,0,0
1776916149762960,GET,chunk_0,9,0,0
1776916149762950,PUT,chunk_0,10,0,4096
1776916149762965,PUT,chunk_0,10,0,4096
1776916149762974,GET,chunk_0,10,0,0
1776916149762979,GET,chunk_1,9,0,0
1776916149762969,PUT,chunk_3,11,0,4096
1776916149762984,GET,chunk_0,9,0,0
1776916149762992,GET,chunk_0,11,0,0
1776916149762997,GET,chunk_2,10,0,0
1776916149763002,PUT,chunk_0,9,0,4096
1776916149762988,GET,chunk_0,11,0,0
1776916149763011,GET,chunk_0,10,0,0
1776916149763017,GET,chunk_0,9,0,0
1776916149763022,GET,chunk_0,10,0,0
1776916149763007,GET,chunk_0,11,0,0
1776916149763027,GET,chunk_0,12,0,0
1776916149763030,GET,chunk_0,14,0,0
1776916149763045,PUT,chunk_0,9,0,4096
1776916149763051,GET,chunk_0,9,0,0
1776916149763038,GET,chunk_0,10,0,0
1776916149763056,PUT,chunk_0,10,0,4096
1776916149763064,GET,chunk_0,10,0,0
1776916149763069,PUT,chunk_2,9,0,4096
1776916149763060,PUT,chunk_0,11,0,4096
1776916149763078,GET,chunk_0,10,0,0
1776916149763083,GET,chunk_2,10,0,0
1776916149763088,GET,chunk_4,9,0,0
1776916149763093,GET,chunk_3,10,0,0
1776916149763097,PUT,chunk_0,9,0,4096
1776916149763102,PUT,chunk_2,9,0,4096
1776916149763107,GET,chunk_0,10,0,0
1776916149763111,GET,chunk_2,10,0,0
1776916149763116,GET,chunk_4,9,0,0
1776916149763121,GET,chunk_0,9,0,0
1776916149763074,GET,chunk_0,10,0,0
1776916149763130,GET,chunk_0,10,0,0
1776916149763134,GET,chunk_0,9,0,0
1776916149763126,PUT,chunk_4,9,0,4096
1776916149763140,PUT,chunk_0,9,0,4096
1776916149763148,GET,chunk_0,10,0,0
1776916149763153,PUT,chunk_0,9,0,4096
1776916149763159,GET,chunk_0,9,0,0
1776916149763163,GET,chunk_0,10,0,0
1776916149763168,GET,chunk_0,9,0,0
1776916149763173,GET,chunk_0,9,0,0
1776916149763177,GET,chunk_4,10,0,0
1776916149763187,GET,chunk_4,9,0,0
1776916149763182,GET,chunk_0,10,0,0
1776916149763196,GET,chunk_0,8,0,0
1776916149763200,GET,chunk_3,9,0,0
1776916149763144,PUT,chunk_4,10,0,4096
1776916149763205,GET,chunk_0,10,0,0
1776916149763214,GET,chunk_0,11,0,0
1776916149763219,GET,chunk_0,10,0,0
1776916149763224,GET,chunk_0,9,0,0
1776916149763209,GET,chunk_0,11,0,0
1776916149763229,GET,chunk_0,10,0,0
1776916149763238,PUT,chunk_0,10,0,4096
1776916149763243,PUT,chunk_0,9,0,4096
1776916149763233,GET,chunk_0,10,0,0
1776916149763253,PUT,chunk_3,10,0,4096
1776916149763257,PUT,chunk_0,10,0,4096
1776916149763262,GET,chunk_0,9,0,0
1776916149763248,GET,chunk_0,9,0,0
1776916149763267,PUT,chunk_0,10,0,4096
1776916149763276,GET,chunk_4,10,0,0
1776916149763281,PUT,chunk_0,9,0,4096
1776916149763271,PUT,chunk_0,11,0,4096
1776916149763291,GET,chunk_4,10,0,0
1776916149763295,PUT,chunk_2,9,0,4096
1776916149763300,GET,chunk_0,9,0,0
1776916149763287,GET,chunk_3,9,0,0
1776916149763309,GET,chunk_0,10,0,0
1776916149763314,PUT,chunk_0,9,0,4096
1776916149763305,GET,chunk_0,10,0,0
1776916149763319,PUT,chunk_3,9,0,4096
1776916149763328,GET,chunk_0,10,0,0
1776916149763333,GET,chunk_0,9,0,0
1776916149763324,GET,chunk_0,10,0,0
1776916149763343,GET,chunk_0,10,0,0
1776916149763347,GET,chunk_0,10,0,0
1776916149763338,PUT,chunk_0,9,0,4096
1776916149763352,GET,chunk_0,11,0,0
1776916149763361,PUT,chunk_0,10,0,4096
1776916149763366,PUT,chunk_0,10,0,4096
1776916149763357,GET,chunk_0,11,0,0
1776916149763372,GET,chunk_0,10,0,0
1776916149763380,PUT,chunk_0,10,0,4096
1776916149763386,GET,chunk_0,9,0,0
1776916149763391,GET,chunk_0,9,0,0
1776916149763375,GET,chunk_0,11,0,0
1776916149763399,GET,chunk_0,11,0,0
1776916149763404,GET,chunk_0,10,0,0
1776916149763410,GET,chunk_0,9,0,0
1776916149763414,GET,chunk_0,10,0,0
1776916149763419,PUT,chunk_0,10,0,4096
1776916149763396,GET,chunk_1,10,0,0
1776916149763422,GET,chunk_4,9,0,0
1776916149763429,GET,chunk_0,8,0,0
1776916149763434,GET,chunk_0,9,0,0
1776916149763439,GET,chunk_1,9,0,0
1776916149763445,PUT,chunk_4,9,0,4096
1776916149763450,PUT,chunk_0,9,0,4096
1776916149763456,GET,chunk_0,8,0,0
1776916149763461,PUT,chunk_4,8,0,4096
1776916149763467,GET,chunk_0,9,0,0
1776916149763472,PUT,chunk_0,9,0,4096
1776916149763477,GET,chunk_0,9,0,0
1776916149763482,GET,chunk_0,9,0,0
1776916149763488,GET,chunk_0,9,0,0
1776916149763493,PUT,chunk_0,9,0,4096
1776916149763498,PUT,chunk_0,9,0,4096
1776916149763504,GET,chunk_0,9,0,0
1776916149763509,GET,chunk_2,8,0,0
1776916149763514,GET,chunk_0,8,0,0
1776916149763520,PUT,chunk_0,9,0,4096
1776916149763525,GET,chunk_0,9,0,0
1776916149763531,GET,chunk_0,9,0,0
1776916149763536,PUT,chunk_0,9,0,4096
1776916149763541,GET,chunk_0,8,0,0
1776916149763547,GET,chunk_0,9,0,0
1776916149763552,PUT,chunk_0,9,0,4096
1776916149763558,GET,chunk_0,9,0,0
1776916149763563,GET,chunk_0,9,0,0
1776916149763569,PUT,chunk_0,8,0,4096
1776916149763574,PUT,chunk_0,9,0,4096
1776916149763580,PUT,chunk_4,9,0,4096
1776916149763585,GET,chunk_0,9,0,0
1776916149763590,GET,chunk_1,8,0,0
1776916149763595,PUT,chunk_0,9,0,4096
1776916149763601,PUT,chunk_0,9,0,4096
1776916149763606,GET,chunk_0,9,0,0
1776916149763611,GET,chunk_0,9,0,0
1776916149763617,GET,chunk_3,8,0,0
1776916149763622,GET,chunk_0,9,0,0
1776916149763629,GET,chunk_1,9,0,0
1776916149763634,GET,chunk_1,9,0,0
1776916149763640,GET,chunk_0,9,0,0
1776916149763646,GET,chunk_0,9,0,0
1776916149763651,GET,chunk_0,9,0,0
1776916149763657,GET,chunk_0,8,0,0
1776916149763664,PUT,chunk_0,9,0,4096
